PUBMEDID	Author	Year	OtherLink	OtherText
24122511	Kikuchi	2013		
24150606	Meyer	2014		
24184213	Juvale	2013		
24246570	Sun	2014		
24295974	Rizk	2014		
24338900	Huo	2014		
24398510	Hu	2014		
24440960	Takeuchi	2014		
24491572	Macha	2014		
24550332	Custodio	2014		
24617605	Prueksaritanont	2014		
24646860	Lepist	2014		
24688079	Boxberger	2014		
24692216	Wang	2014		
24747579	Maeda	2014		
24754247	Gozalpour	2014		
24807167	Khurana	2014		
24867984	Furihata	2014		
24961373	Chen	2014		
25060604	Cho	2014		
25117183	Johansson	2014		
25155823	Dos	2014		
25165131	Johnston	2014		
25223504	Stage	2015		
25310383	Fu	2014		
25414411	Izumi	2015		
25466967	Bexten	2015		
25477469	Hagos	2015		
25521244	Weiss	2014		
25587128	Lee	2015		
25739790	Ohya	2015		
25855895	Kohler	2015		
25914645	Moss	2015		
26037524	Chapy	2015		
26327616	Hacker	2015		
26330539	Visentin	2015		
26340566	Reese	2016		
26374172	Yin	2015		
2646988	Leibovici	1989		
26659468	Matthaei	2016		
26668209	Vermeer	2016		
26696140	Izumi	2016		
26700956	Elsby	2016		
26702643	Misaka	2016		
26748647	Martin	2016		
26774038	Obreque-Balboa	2016		
26927160	Weiss	2016		
26951201	Shen	2016		
26961540	Oshida	2017		
26974526	Song	2016		
26976869	Parvez	2016		
27178732	Sauzay	2016		
27256812	Stopfer	2016		
27271370	Lechner	2016		
27273004	Yamazaki	2017		
27321165	Ayalasomayajula	2016		
27324234	Li	2016		
27350110	Futatsugi	2016		
27393949	Baiceanu	2016		
27418674	Martinez-Guerrero	2016		
27458210	Gupta	2016		
27503646	Yang	2016		
27504015	Hubeny	2016		
27550354	Parvez	2016		
27645247	Te	2016		
27676604	Chen	2017		
27684210	McCormick	2017		
27737931	Johnson	2017		
28093031	Shams	2018		
28104831	Shen	2017		
28179375	Mathialagan	2017		
28209616	Drenberg	2017		
28223391	Parvez	2017		
28230985	Chen	2017		
28281384	Hanna	2018		
28283500	Zhang	2017		
28320730	Ellens	2017		
28373111	Pahwa	2017		
28428365	Wagner	2017		
28455521	Harrach	2017		
28456731	Tsuruya	2017		
28499878	Takano	2017		
28535976	Wang	2017		
28562037	Khuri	2017		
28615288	Severance	2017		
28630284	Burckhardt	2017		
28737453	Gnerre	2018		
28749581	Posada	2017		
28801980	Narumi	2017		
28841513	Krapf	2017		
28926871	Li	2017		
28971610	Elsby	2017		
29061131	van	2017		
29236753	Meyer	2017		
29277663	Wen	2018		
29307856	Lu	2018		
29498478	Chen	2018		
29627897	Katsube	2018		
29748863	Pei	2018		
29882324	Matthaei	2019		
29884691	Sandoval	2018		
29888219	Hucke	2018		
29915999	Xiao	2018		
30012768	Parvez	2018		
30114293	Ceckova	2018		
30361780	Zhu	2018		
30442649	Yu	2019		
30443705	Huledal	2019		
30449032	Chappell	2019		
30605260	Choi	2019		
30648735	Gessner	2019		
30656943	Deutsch	2019		
30706983	McFeely	2019		
30745395	Bleasby	2019		
30891606	Chan	2019		
31034908	Kikuchi	2019		
31047942	Farasyn	2019		
31322418	Yin	2019		
31341258	Liao	2020		
31371478	Taniguchi	2019		
31437515	Jiang	2019		
31506301	Cheong	2019		
31511257	Miyake	2019		
31514980	Chen	2019		
31542894	Abebe	2020		
31571146	Zurth	2019		
31740393	Shu	2020		
31834804	Unger	2020		
31836927	Boof	2020		
32129697	Liao	2020		
32334013	Sarkar	2020		
32344570	Antonescu	2020		
33256506	Zhao	2021		
7514263	Rao	1994		
7562598	Hirai	1995		
7681059	Saeki	1993		
7805856	Borrel	1994		
8100632	Hunter	1993		
8621716	Borgnia	1996		
8842452	Fricker	1996		
9187257	Zhang	1997		
9262363	Ito	1997		
9355767	Jedlitschky	1997		
9380680	Dey	1997		
9531522	Walle	1998		
9751076	Shepard	1998		
9794924	Huang	1998		
9914792	Kusunoki	1998		
			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3606266/	Cortes-Ciriano, 2013
			https://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/201280Orig1s000ClinPharmR.pdf	Linagliptin NDA application
			https://www.pmda.go.jp/drugs/2016/P20161125002/800155000_22800AMX00714_I100_1.pdf	DARUNAVIR/COBICISTAT PHARMACOKINETICS WRITTEN SUMMARY
			http://www.hivandhepatitis.com/2010_conference/aasld/posters/Huisman.pdf	Huisman AASLD Poster 2010
			https://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/201292Orig1s000ClinPharmR.pdf 	Afatinib NDA application
			https://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/204114Orig1s000ClinPharmR.pdf	Trametinib NDA application
			https://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/203388Orig1s000ClinPharmR.pdf	Vismodegib NDA application
			https://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/207924Orig1s000ClinPharmR.pdf	Baricitinib NDA application
			https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/205123Orig1s008.pdf	Simeprevir NDA application
